text,ticker,timestamp,likes,retweets,replies
$AAPL breaking out! Strong buy signal 🚀,AAPL,2024-01-15 10:30:00,125,45,12
TSLA earnings miss expectations. Bearish outlook 📉,TSLA,2024-01-16 14:22:00,89,23,67
NVDA AI revolution continues. Long term bullish 💎,NVDA,2024-01-17 09:15:00,234,78,34
$QCOM strong buy 🔥,QCOM,2024-03-24 00:52:00,500,3,24
$NVDA hodl 💰,NVDA,2024-05-28 15:06:00,467,62,43
$QCOM overvalued 🔻,QCOM,2024-10-13 11:56:00,19,19,45
$AAPL bullish 🔥,AAPL,2024-09-16 02:38:00,380,72,20
$NVDA short squeeze 💀,NVDA,2024-02-03 23:53:00,156,3,48
$INTC sell off 📉,INTC,2024-02-20 16:13:00,277,94,6
$INTC to the moon 🚀,INTC,2024-09-21 22:03:00,255,13,43
$QCOM falling knife 🔻,QCOM,2024-07-23 20:19:00,331,60,11
$AMZN dump 😭,AMZN,2024-03-23 20:23:00,421,75,8
$NVDA breakout 📈,NVDA,2024-05-20 04:55:00,387,24,28
$QCOM crash incoming 🔻,QCOM,2024-03-27 06:10:00,148,45,0
$MSFT overvalued 😭,MSFT,2024-12-28 09:33:00,194,13,29
$MSFT overvalued 💸,MSFT,2024-02-21 12:43:00,439,44,0
$QCOM dump 💸,QCOM,2024-03-27 13:06:00,287,8,24
$MSFT rally 💰,MSFT,2024-09-29 18:35:00,204,8,24
$META dump 💸,META,2024-11-17 20:52:00,176,64,48
$META short squeeze 📉,META,2024-01-25 19:40:00,242,63,47
$MSFT hodl 🚀,MSFT,2024-10-08 03:53:00,270,71,10
$AAPL strong buy 💰,AAPL,2024-09-08 15:57:00,116,23,45
$TSLA strong buy 💎,TSLA,2024-11-25 21:54:00,211,59,10
$INTC bubble 😭,INTC,2024-12-18 23:24:00,136,54,24
$NVDA strong buy 📈,NVDA,2024-06-11 22:30:00,394,90,10
$MSFT diamond hands 📈,MSFT,2024-10-12 17:30:00,315,26,8
$MSFT moon mission 📈,MSFT,2024-06-26 18:47:00,477,3,50
$GOOGL bearish 📉,GOOGL,2024-10-29 07:04:00,408,21,29
$META put options 😭,META,2024-08-20 10:43:00,459,35,21
$TSLA crash incoming 💸,TSLA,2024-02-08 07:05:00,323,48,47
$AMD strong buy 🔥,AMD,2024-12-26 04:17:00,47,59,0
$QCOM bearish 😭,QCOM,2024-09-20 08:33:00,261,11,41
$META sell off 🔻,META,2024-10-10 20:25:00,405,75,27
$TSLA dump 📉,TSLA,2024-11-01 15:20:00,322,22,11
$AMD bearish 🔻,AMD,2024-08-09 21:42:00,178,13,16
$AMD bullish 📈,AMD,2024-01-17 03:37:00,277,19,27
$AMD to the moon 💎,AMD,2024-11-01 07:40:00,85,92,26
$GOOGL rally 💎,GOOGL,2024-04-17 13:40:00,447,33,4
$INTC sell off 🔻,INTC,2024-04-07 11:35:00,69,35,40
$NVDA sell off 📉,NVDA,2024-06-23 18:36:00,244,85,30
$AAPL pumping 💎,AAPL,2024-02-01 07:02:00,45,29,42
$INTC to the moon 📈,INTC,2024-12-14 16:23:00,37,56,26
$QCOM bearish 💀,QCOM,2024-10-26 18:01:00,231,85,48
$AMD overvalued 😭,AMD,2024-12-13 18:48:00,149,19,29
$META dump 😭,META,2024-04-25 02:33:00,92,67,6
$MSFT falling knife 💸,MSFT,2024-02-23 23:44:00,111,5,40
$AAPL falling knife 📉,AAPL,2024-09-21 08:27:00,143,84,41
$AAPL short squeeze 💀,AAPL,2024-09-18 15:14:00,218,89,25
$AMZN diamond hands 📈,AMZN,2024-01-18 03:33:00,50,87,17
$QCOM bullish 🚀,QCOM,2024-05-10 12:44:00,104,73,46
$AAPL to the moon 💰,AAPL,2024-04-30 15:56:00,30,51,50
$META hodl 💰,META,2024-07-06 13:56:00,338,24,34
$NVDA crash incoming 😭,NVDA,2024-09-11 23:16:00,163,49,47
$INTC falling knife 📉,INTC,2024-10-11 03:32:00,394,83,32
$TSLA bubble 😭,TSLA,2024-05-20 11:28:00,356,1,40
$QCOM diamond hands 📈,QCOM,2024-03-22 04:41:00,106,47,20
$GOOGL pumping 💰,GOOGL,2024-03-21 23:06:00,227,53,39
$TSLA overvalued 💀,TSLA,2024-05-14 17:33:00,385,90,17
$AAPL moon mission 🔥,AAPL,2024-11-12 04:17:00,195,52,3
$GOOGL bubble 😭,GOOGL,2024-03-04 17:39:00,481,48,3
$QCOM breakout 💰,QCOM,2024-05-05 05:47:00,211,6,38
$MSFT to the moon 💎,MSFT,2024-02-03 21:12:00,209,95,23
$QCOM diamond hands 🔥,QCOM,2024-12-29 16:45:00,417,25,16
$AAPL rally 📈,AAPL,2024-11-17 16:27:00,332,75,12
$MSFT bubble 😭,MSFT,2024-12-01 16:19:00,484,57,34
$NVDA short squeeze 😭,NVDA,2024-05-30 04:21:00,381,45,1
$NVDA bullish 💰,NVDA,2024-04-28 22:55:00,171,20,13
$AMD pumping 💎,AMD,2024-08-13 12:52:00,30,69,33
$QCOM breakout 🔥,QCOM,2024-12-02 17:36:00,388,5,20
$AAPL sell off 💀,AAPL,2024-02-23 13:31:00,492,39,34
$TSLA bullish 📈,TSLA,2024-11-12 12:40:00,94,44,9
$NVDA short squeeze 📉,NVDA,2024-07-12 09:40:00,252,32,18
$GOOGL hodl 🚀,GOOGL,2024-04-07 06:41:00,173,31,18
$TSLA bearish 📉,TSLA,2024-11-19 16:33:00,223,12,24
$AAPL hodl 🚀,AAPL,2024-08-21 06:23:00,299,92,45
$TSLA pumping 🚀,TSLA,2024-10-28 10:15:00,299,13,4
$NVDA pumping 💰,NVDA,2024-03-20 03:36:00,142,0,15
$AAPL sell off 📉,AAPL,2024-03-24 08:10:00,99,33,2
$INTC bullish 📈,INTC,2024-06-18 11:33:00,258,40,19
$META falling knife 📉,META,2024-08-15 17:08:00,350,41,25
$AMD bullish 💰,AMD,2024-11-25 02:42:00,201,90,45
$TSLA moon mission 💰,TSLA,2024-04-11 06:49:00,454,40,0
$META rally 🚀,META,2024-02-12 09:42:00,32,69,9
$QCOM short squeeze 📉,QCOM,2024-08-02 21:56:00,141,66,43
$AAPL falling knife 🔻,AAPL,2024-02-25 06:04:00,426,8,14
$AAPL breakout 📈,AAPL,2024-11-26 06:28:00,335,16,47
